Type,Host,Answer,TTL,Priority
NS,ae.retailaer.com,ns-113.awsdns-14.com,300,
NS,ae.retailaer.com,ns-1467.awsdns-55.org,300,
NS,ae.retailaer.com,ns-1711.awsdns-21.co.uk,300,
NS,ae.retailaer.com,ns-686.awsdns-21.net,300,
CNAME,autodiscover.retailaer.com,autodiscover.outlook.com,300,
NS,dev.direct.ae.retailaer.com,ns-1294.awsdns-33.org,300,
NS,dev.direct.ae.retailaer.com,ns-131.awsdns-16.com,300,
NS,dev.direct.ae.retailaer.com,ns-1573.awsdns-04.co.uk,300,
NS,dev.direct.ae.retailaer.com,ns-703.awsdns-23.net,300,
A,dev.sso.ae.retailaer.com,5.35.28.224,300,
A,mail.retailaer.com,92.205.5.183,3600,
A,openproject.retailaer.com,37.200.70.170,300,
A,retailaer.com,92.205.5.183,3600,
MX,retailaer.com,retailaer-com.mail.protection.outlook.com,300,10
TXT,retailaer.com,MS=ms17734042,300,
TXT,retailaer.com,"v=spf1 include:spf.protection.outlook.com -all",300,
TXT,selcloud._domainkey.support.retailaer.com,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDCLdYrTXR9EHFuESawjkF3BNFN2eyrgayZ3u4qkrd4+Zy+sZcBuQXk5xcaKjNj7Z9WDoHscyp1oaN+hS3LMdCsZlBC168VUaexQzG10XnTvCIluWEtQAhF5Hoi2u9VJzZtLYcF/QhYlU6ZCbggnbJtdjquIfIHsxVvMzIKuqWo4wIDAQAB",300,
CNAME,selector1._domainkey.retailaer.com,selector1-retailaer-com._domainkey.retailaer.onmicrosoft.com,300,
CNAME,selector2._domainkey.retailaer.com,selector2-retailaer-com._domainkey.retailaer.onmicrosoft.com,300,
TXT,support.retailaer.com,69ada1c2-cfc4-4001-b3d3-df63c6b74250,300,
TXT,support.retailaer.com,"v=spf1 include:spf.mail.selcloud.ru ?all",300,
A,www.retailaer.com,75.126.104.249,300,
TXT,_acme-challenge.retailaer.com,MicLF16VMsejstp4WMVPWPjqoCgQEOnRyOeBHDeU0dY,300,
TXT,_acme-challenge.www.retailaer.com,5grYz6XjP6Pi-xIxcLd6hoIFQ3Tt8YHDwVQ8JCQXKJU,300,
TXT,_dmarc.support.retailaer.com,"v=DMARC1; p=quarantine;",300,
